id,_ptype,_ltype,price,kabkoId,bedRooms,bathRooms,landSize,buildingSize,garages,sold
40895944060.0,house,rent,52808487.0,618.0,5.0,5.0,170.0,174.0,0.0,no
31744051061.0,house,sale,480795677.0,618.0,3.0,2.0,53.0,45.0,1.0,no
39938031133.0,,sale,2080617231.0,618.0,,3.0,126.0,161.0,0.0,no
97883483781.0,house,sale,5327875015.0,618.0,4.0,4.0,194.0,170.0,1.0,yes
42859310632.0,house,sale,1560901826.0,608.0,3.0,2.0,84.0,67.0,0.0,no
152410990233.0,house,sale,3600535040.0,608.0,3.0,2.0,212.0,340.0,0.0,yes
152855706812.0,house,sale,2520616373.0,618.0,4.0,3.0,134.0,165.0,0.0,yes
105182535356.0,house,rent,30505727.0,,5.0,5.0,170.0,174.0,0.0,no
131070569042.0,house,sale,3495464758.0,608.0,4.0,4.0,127.0,142.0,1.0,
97469390192.0,house,sale,6757595985.0,618.0,4.0,4.0,217.0,205.0,1.0,
20417548852.0,house,sale,1760662084.0,608.0,3.0,3.0,72.0,86.0,0.0,no
143465940966.0,house,sale,2040224455.0,618.0,,,132.0,74.0,0.0,no
122747770515.0,house,sale,620310022.0,618.0,2.0,1.0,54.0,51.0,0.0,no
166349275249.0,house,sale,1240516958.0,618.0,,3.0,95.0,140.0,0.0,no
122020457805.0,apartment,sale,1528933069.0,608.0,1.0,1.0,0.0,51.0,0.0,no
73814247612.0,house,sale,3920893332.0,618.0,,3.0,280.0,307.0,0.0,
22040742886.0,house,sale,524443754.0,,3.0,2.0,51.0,47.0,0.0,no
70134321572.0,house,sale,1520628370.0,608.0,3.0,2.0,78.0,74.0,1.0,
83082960656.0,house,sale,1080150730.0,618.0,3.0,2.0,102.0,68.0,0.0,no
79973307181.0,house,sale,580125103.0,608.0,2.0,1.0,76.0,67.0,0.0,
131626146786.0,house,sale,14800573009.0,618.0,5.0,,478.0,632.0,2.0,no
149349102386.0,house,sale,1680331553.0,618.0,3.0,3.0,92.0,127.0,0.0,no
103632462072.0,house,sale,544229284.0,618.0,3.0,2.0,52.0,37.0,0.0,no
139581116245.0,apartment,sale,572338994.0,608.0,2.0,1.0,0.0,30.0,0.0,no
32328063389.0,house,sale,5200575116.0,618.0,9.0,4.0,375.0,,2.0,no
34347792378.0,house,sale,1760841518.0,618.0,3.0,3.0,92.0,119.0,0.0,no
50185539151.0,house,sale,480166034.0,618.0,1.0,1.0,85.0,85.0,0.0,yes
134317088214.0,house,rent,51330167.0,618.0,3.0,3.0,135.0,127.0,0.0,no
118887107333.0,house,sale,3120169628.0,618.0,,4.0,212.0,150.0,1.0,no
100322151626.0,house,sale,1200460738.0,618.0,3.0,1.0,114.0,75.0,0.0,no
157182787006.0,house,sale,400890602.0,618.0,3.0,2.0,51.0,42.0,0.0,no
95284830820.0,house,sale,480617335.0,618.0,3.0,2.0,45.0,42.0,0.0,
13010364561799.0,house,sale,12000408902.0,618.0,5.0,7.0,547.0,600.0,4.0,yes
150607075516.0,house,sale,284666733.0,618.0,2.0,1.0,45.0,34.0,1.0,no
168887134511.0,house,sale,1000766604.0,618.0,2.0,1.0,90.0,40.0,0.0,no
,house,sale,320289729.0,618.0,2.0,1.0,51.0,31.0,,
74968470439.0,house,sale,492329010.0,618.0,2.0,1.0,51.0,30.0,1.0,no
38119347101.0,house,sale,2240603605.0,618.0,3.0,3.0,215.0,854.0,0.0,no
35012914832.0,house,sale,479936154.0,,3.0,,51.0,45.0,0.0,
163623623750.0,house,sale,400689004.0,618.0,3.0,2.0,45.0,33.0,,no
153092582115.0,house,sale,864385792.0,618.0,2.0,2.0,67.0,54.0,0.0,no
63853207090.0,house,sale,7120674395.0,618.0,5.0,3.0,322.0,375.0,0.0,no
149443401664.0,house,sale,1360904561.0,618.0,2.0,3.0,122.0,170.0,1.0,no
81794015486.0,apartment,sale,785064941.0,618.0,1.0,,0.0,30.0,0.0,no
89259088981.0,house,sale,480586759.0,618.0,3.0,2.0,,37.0,1.0,no
25250816396.0,apartment,sale,373703588.0,608.0,1.0,1.0,0.0,23.0,0.0,yes
95851810591.0,house,sale,1600381689.0,608.0,3.0,2.0,,57.0,0.0,no
139842715272.0,house,sale,960570055.0,618.0,4.0,3.0,56.0,56.0,0.0,no
42492196592.0,house,sale,480555543.0,,3.0,2.0,45.0,42.0,0.0,no
145330755936.0,house,sale,1280141343.0,608.0,3.0,2.0,84.0,90.0,0.0,no
96266143973.0,house,sale,7200642862.0,618.0,5.0,5.0,508.0,187.0,0.0,no
5738050951332.0,apartment,rent,4558100.0,618.0,1.0,1.0,0.0,22.0,0.0,
32327115974.0,house,sale,2000138566.0,618.0,3.0,3.0,171.0,93.0,0.0,
33168646845.0,apartment,sale,911758502.0,618.0,1.0,1.0,0.0,,0.0,no
80690175103.0,apartment,rent,27600131.0,618.0,3.0,2.0,0.0,136.0,0.0,no
28873180716.0,apartment,sale,,618.0,2.0,1.0,0.0,39.0,0.0,no
10847096149692.0,house,sale,5040690454.0,618.0,4.0,4.0,202.0,260.0,3.0,
124038298293.0,house,sale,1034634446.0,618.0,2.0,2.0,63.0,54.0,0.0,no
121150534768.0,house,,396852775.0,618.0,2.0,1.0,85.0,42.0,1.0,no
39117834300.0,house,sale,508941015.0,,3.0,2.0,45.0,45.0,0.0,no
34066086660.0,house,sale,476123624.0,618.0,3.0,2.0,45.0,,0.0,no
70426054654.0,house,sale,1200948328.0,618.0,3.0,2.0,65.0,147.0,1.0,yes
49382150878.0,house,sale,4200342085.0,618.0,4.0,4.0,157.0,212.0,0.0,no
79376993383.0,,sale,1560747930.0,608.0,3.0,2.0,,66.0,0.0,yes
123395135725.0,house,sale,288990286.0,,2.0,1.0,51.0,45.0,1.0,no
128825170922.0,house,sale,1920567054.0,618.0,3.0,3.0,114.0,82.0,1.0,yes
115026551749.0,house,sale,336491311.0,608.0,3.0,1.0,61.0,45.0,,yes
148792053253.0,house,sale,1560864640.0,618.0,4.0,3.0,78.0,82.0,0.0,no
146105395038.0,house,rent,20554065.0,,,2.0,68.0,45.0,0.0,no
174126119863.0,,rent,24597363.0,618.0,0.0,1.0,0.0,22.0,0.0,no
79979288850.0,house,sale,6960117018.0,618.0,5.0,4.0,281.0,324.0,2.0,no
68936459411.0,house,sale,7600199009.0,618.0,4.0,4.0,416.0,340.0,0.0,no
,house,sale,6000128005.0,618.0,4.0,4.0,349.0,273.0,4.0,no
142779005126.0,house,sale,6757413660.0,608.0,4.0,4.0,246.0,181.0,1.0,no
72957690535.0,house,sale,,618.0,3.0,2.0,45.0,37.0,0.0,no
157973086452.0,house,,1584140040.0,608.0,3.0,3.0,90.0,83.0,0.0,no
64556793706.0,apartment,sale,720343356.0,618.0,,1.0,0.0,23.0,0.0,no
34708772210.0,house,sale,2200634472.0,618.0,3.0,2.0,121.0,93.0,0.0,
53914221714.0,house,sale,960271192.0,608.0,3.0,2.0,61.0,56.0,0.0,no
,house,sale,1040266760.0,618.0,,2.0,,75.0,0.0,
63244824621.0,house,sale,2240331627.0,618.0,3.0,2.0,170.0,187.0,0.0,no
31319816501.0,house,sale,1840198644.0,618.0,3.0,3.0,187.0,127.0,0.0,no
56071654906.0,apartment,sale,829889547.0,618.0,2.0,1.0,0.0,37.0,0.0,
26970805926.0,apartment,sale,1240261085.0,618.0,2.0,2.0,0.0,51.0,0.0,no
61366435011.0,house,sale,2800341330.0,608.0,4.0,4.0,142.0,240.0,2.0,no
93863217161.0,house,sale,1000674042.0,618.0,3.0,2.0,90.0,76.0,0.0,no
65761810755.0,house,sale,1600248260.0,618.0,3.0,2.0,130.0,138.0,0.0,no
43049457199.0,house,sale,1160813889.0,618.0,3.0,3.0,83.0,80.0,0.0,no
29033614787.0,house,sale,1080873868.0,618.0,2.0,1.0,89.0,55.0,0.0,no
68484820898.0,apartment,sale,419459974.0,608.0,1.0,1.0,0.0,15.0,0.0,no
91615247807.0,house,sale,400711036.0,618.0,3.0,2.0,37.0,38.0,0.0,no
134347624903.0,house,sale,1680316631.0,618.0,4.0,3.0,101.0,202.0,0.0,no
171804171069.0,house,sale,1200549683.0,608.0,3.0,2.0,57.0,52.0,0.0,no
96580506021.0,house,sale,3536975647.0,618.0,3.0,3.0,121.0,153.0,1.0,no
100764544791.0,house,sale,2400396670.0,618.0,3.0,3.0,159.0,103.0,,no
82658283970.0,house,,740412310.0,618.0,2.0,1.0,72.0,42.0,0.0,no
43196169402.0,house,sale,1200182798.0,608.0,2.0,2.0,47.0,51.0,0.0,yes
70463212660.0,house,sale,400470229.0,,3.0,2.0,42.0,38.0,0.0,no
105615463709.0,house,,2560313105.0,618.0,4.0,3.0,,170.0,1.0,yes
108534297484.0,apartment,sale,1680559197.0,618.0,2.0,2.0,,92.0,0.0,
130031481900.0,,sale,1200754046.0,618.0,2.0,1.0,112.0,57.0,0.0,no
146095294581.0,house,sale,880642306.0,618.0,2.0,2.0,36.0,45.0,1.0,no
108659613676.0,house,sale,710256531.0,618.0,4.0,3.0,90.0,107.0,0.0,
11864407152575.0,house,,1080492277.0,618.0,2.0,1.0,97.0,46.0,0.0,
27608786412.0,house,sale,,618.0,,2.0,51.0,,0.0,no
57901600721.0,house,sale,1560254846.0,618.0,4.0,3.0,90.0,135.0,0.0,no
65078712590.0,house,sale,1800924506.0,618.0,3.0,3.0,136.0,90.0,0.0,no
65961704452.0,house,sale,1040744753.0,618.0,3.0,2.0,87.0,59.0,0.0,no
83579647164.0,house,sale,3040872001.0,,4.0,4.0,135.0,221.0,0.0,no
24189436660.0,house,rent,21385109.0,618.0,2.0,1.0,76.0,51.0,0.0,no
11064310898042.0,house,sale,1080947012.0,618.0,4.0,3.0,153.0,127.0,0.0,yes
59986175971.0,house,sale,476347029.0,618.0,3.0,2.0,45.0,37.0,0.0,no
14744835478654.0,house,sale,7440931178.0,618.0,5.0,6.0,403.0,569.0,0.0,no
20666739656.0,apartment,sale,1240294101.0,,2.0,2.0,,51.0,0.0,no
172713287172.0,house,rent,52688177.0,618.0,5.0,5.0,170.0,153.0,0.0,no
9389865540915.0,house,sale,488361160.0,618.0,3.0,2.0,45.0,37.0,1.0,no
82443032558.0,house,rent,30711385.0,618.0,5.0,5.0,150.0,153.0,0.0,no
153312626429.0,apartment,sale,720613027.0,618.0,1.0,1.0,0.0,33.0,0.0,no
141207898727.0,apartment,sale,682245181.0,,1.0,1.0,0.0,31.0,0.0,no
81192578718.0,house,sale,,618.0,4.0,4.0,408.0,330.0,0.0,
139631179588.0,house,sale,2240497486.0,618.0,3.0,3.0,135.0,120.0,0.0,no
47281821673.0,house,sale,2720882644.0,608.0,4.0,3.0,153.0,195.0,1.0,no
52022305175.0,house,sale,12000639804.0,618.0,5.0,5.0,416.0,637.0,0.0,
65479516650.0,house,sale,240881695.0,608.0,2.0,1.0,51.0,27.0,0.0,no
100396643033.0,house,sale,284968623.0,618.0,2.0,1.0,,45.0,1.0,no
66426187297.0,house,,592623459.0,618.0,2.0,2.0,54.0,54.0,0.0,no
76741851108.0,apartment,,514803307.0,608.0,1.0,1.0,0.0,20.0,0.0,no
160594763972.0,apartment,sale,340834922.0,618.0,1.0,1.0,0.0,20.0,0.0,yes
122686667690.0,house,sale,1200298976.0,618.0,,2.0,101.0,82.0,0.0,no
23389723018.0,house,sale,5440832345.0,618.0,,4.0,187.0,476.0,2.0,no
39191717802.0,house,sale,720136098.0,618.0,2.0,1.0,102.0,67.0,0.0,yes
74648083490.0,house,sale,1920136149.0,,3.0,,,136.0,0.0,no
43583216196.0,house,sale,1480515031.0,618.0,2.0,1.0,135.0,,0.0,no
20725700849.0,house,sale,624747372.0,618.0,2.0,1.0,61.0,42.0,0.0,no
74574038552.0,house,sale,1280196346.0,618.0,2.0,2.0,105.0,52.0,1.0,no
171007908879.0,,sale,1000693751.0,618.0,3.0,2.0,61.0,56.0,0.0,no
102295472549.0,house,,1984425026.0,618.0,3.0,2.0,122.0,105.0,0.0,yes
68045293860.0,apartment,sale,176153094.0,618.0,1.0,1.0,0.0,16.0,0.0,no
166238966952.0,house,sale,426676896.0,608.0,2.0,1.0,68.0,42.0,0.0,no
62852937414.0,house,sale,680379017.0,618.0,2.0,1.0,67.0,45.0,0.0,yes
39874580564.0,house,sale,6664900633.0,608.0,4.0,4.0,187.0,252.0,1.0,yes
139348185803.0,house,sale,,608.0,4.0,3.0,95.0,112.0,0.0,yes
166973159512.0,house,sale,3440730099.0,618.0,4.0,5.0,170.0,246.0,0.0,no
97516495458.0,house,rent,52556727.0,618.0,5.0,5.0,170.0,174.0,,no
93612199468.0,house,sale,5200880623.0,618.0,4.0,,255.0,340.0,0.0,yes
106607063616.0,house,sale,480686676.0,618.0,3.0,2.0,51.0,37.0,0.0,no
117669026145.0,house,sale,552166042.0,,3.0,2.0,45.0,42.0,0.0,no
124843890727.0,house,rent,60163949.0,618.0,5.0,5.0,150.0,153.0,0.0,no
95788802465.0,,rent,40641416.0,618.0,,2.0,95.0,67.0,0.0,no
163946725667.0,house,sale,6560754430.0,618.0,4.0,4.0,225.0,300.0,2.0,yes
38819447236.0,house,sale,700372249.0,618.0,2.0,1.0,39.0,127.0,0.0,no
